6173 Vatne;1507 Ålesund;2 457;;1,80;;1 367
6174 Søvik;1507 Ålesund;986;;0,84;;1 176
6181 Tomra;1535 Vestnes;1 086;;1,53;;708
6182 Vestnes;1535 Vestnes;2 471;;2,05;;1 203
6184 Fiksdal;1535 Vestnes;236;;0,30;;774
6185 Tresfjord;1535 Vestnes;214;;0,48;;443
6186 Vikebukt;1535 Vestnes;227;;0,48;;473
6191 Isfjorden;1539 Rauma;1 343;;1,15;;1 172
6192 Åndalsnes;1539 Rauma;2 388;;2,21;;1 081
6193 Brønnsletten;1539 Rauma;231;;0,15;;1 530
6194 Voll;1539 Rauma;502;;0,76;;656
6195 Innfjorden;1539 Rauma;260;;0,28;;918
6201 Eidsvåg;1506 Molde;953;;1,09;;872
6202 Rausand;1506 Molde;258;;0,50;;519
6211 Midsund;1506 Molde;584;;0,70;;837
6221 Steinshamn;1507 Ålesund;424;;0,59;;718
6231 Aukra;1547 Aukra;948;;1,17;;808
6232 Hollingen i alt;;1 144;;0,73;;1 572
;1547 Aukra;;719;;0,45;1 597
;1579 Hustadvika;;425;;0,28;1 531
6241 Elnesvågen;1579 Hustadvika;2 625;;2,19;;1 200
6242 Bud;1579 Hustadvika;801;;0,79;;1 011
6244 Tornes;1579 Hustadvika;547;;0,45;;1 206
6247 Farstad;1579 Hustadvika;235;;0,27;;862
6248 Malme;1579 Hustadvika;513;;0,40;;1 274
6249 Sylte;1579 Hustadvika;327;;0,23;;1 428
6251 Eide;1579 Hustadvika;1 433;;1,82;;787
6261 Storbakken;1505 Kristiansund;642;;0,45;;1 420
6264 Solsletta;1505 Kristiansund;749;;0,63;;1 196
6266 Rensvik;1505 Kristiansund;2 484;;1,75;;1 420
6271 Tingvollvågen;1560 Tingvoll;939;;1,37;;688
6281 Grøa;1563 Sunndal;395;;0,31;;1 279
6282 Hoelsand;1563 Sunndal;318;;0,20;;1 624
6283 Sunndalsøra;1563 Sunndal;3 907;;3,51;;1 113
6291 Skei/Surnadalsøra;1566 Surnadal;2 809;;3,30;;851
6301 Rindal;5061 Rindal;704;;0,86;;821
6311 Aure;1576 Aure;599;;0,54;;1 113
6341 Fiskåbygd;1511 Vanylven;478;;0,70;;687
6351 Kårvåg;1554 Averøy;324;;0,34;;961
6352 Bremsnes;1554 Averøy;1 038;;1,44;;720
6354 Sveggen;1554 Averøy;297;;0,29;;1 010
6361 Batnfjordsøra;1557 Gjemnes;379;;0,38;;996
6362 Torvikbukt;1557 Gjemnes;246;;0,37;;657
6371 Liabø;5055 Heim;204;;0,33;;625
6501 Trondheim;5001 Trondheim;194 860;;59,25;;3 289
6502 Trolla;5001 Trondheim;559;;0,23;;2 422
6503 Spongdal;5001 Trondheim;530;;0,28;;1 900
6504 Ringvål;5001 Trondheim;437;;0,19;;2 327
6505 Langørjan;5001 Trondheim;588;;0,35;;1 665
6506 Bratsberg;5001 Trondheim;371;;0,27;;1 389
6507 Nypan;5001 Trondheim;878;;0,56;;1 578
6511 Kyrksæterøra;5055 Heim;2 484;;2,30;;1 079
