Innlandet;Sør-Odal;Granberget;528,5
Innlandet;Tolga;Elgspiggen;1604,41
Innlandet;Trysil;Tverrfjellet;1208,69
Innlandet;Tynset;Blåtronden, Tydalstoppen;1653,43
Innlandet;Vang;Vestre Kalvehøgdi;2207,5
Innlandet;Vestre Slidre;Blåkampen;1646
Innlandet;Vestre Toten;Lauvhøgda;721,98
Innlandet;Vågå;Surtningssue;2367,71
Innlandet;Våler;Kjølberget;704,87
Innlandet;Østre Toten;Torsæterkampen;840,8
Innlandet;Øyer;Eldåhøgda;1232,08
Innlandet;Øystre Slidre;Austre Rasletinden;2010
Innlandet;Åmot;Hemmelkampen;1061
Innlandet;Åsnes;Elgklinten;634,31
Møre og Romsdal;Aukra;Eiskremheia;493
Møre og Romsdal;Aure;Innerbergsalen;907,86
Møre og Romsdal;Averøy;Mekknøken;750,7
Møre og Romsdal;Fjord;Puttegga;1999,16
Møre og Romsdal;Giske;Storhornet;497,22
Møre og Romsdal;Gjemnes;Snøtinden;1026,49
Møre og Romsdal;Hareid;Kongsvollen;682,98
Møre og Romsdal;Herøy;Sollia;661
Møre og Romsdal;Hustadvika;Snøtinden;1026,49
Møre og Romsdal;Kristiansund;Freikollen;628,7
Møre og Romsdal;Molde;Høgbøra;1964,41
Møre og Romsdal;Rauma;Puttegga;1999,16
Møre og Romsdal;Sande;Sollia;660,33
Møre og Romsdal;Smøla;Ramndalshaugen;69,64
Møre og Romsdal;Stranda;Blåfjellet;1775,16
Møre og Romsdal;Sula;Vardane,Tverrfjellet;776,68
Møre og Romsdal;Sunndal;Storskrymten;1985,26
Møre og Romsdal;Surnadal;Snota;1669,12
Møre og Romsdal;Sykkylven;Råna;1587,5
Møre og Romsdal;Tingvoll;Smisetnebba;1175,54
Møre og Romsdal;Ulstein;Blåtind;697,65
Møre og Romsdal;Vanylven;Blæja;1143,35
Møre og Romsdal;Vestnes;Sandfjellet;1470,13
Møre og Romsdal;Volda;Kvitegga;1699,8
Møre og Romsdal;Ørsta;Smørskredtindane;1630,5
Møre og Romsdal;Ålesund;Lauparen;1434,16
Nordland;Alstahaug;Botnkrona;1071,84
Nordland;Andøy;Skardtindan;890
Nordland;Beiarn;Skjelåtinden;1636,53
Nordland;Bindal;Tjeldviktinden,Tsoevtsetjahke;1088,07
Nordland;Bodø;Lurfjelltinden;1284
Nordland;Brønnøy;Breivasstinden;1224,75
Nordland;Bø;Burnestinden;693,6
Nordland;Dønna;Dønnmannen;856
Nordland;Evenes;Litletinden,Seamulvákkečohkka;1134,33
Nordland;Fauske;Suliskongen;1907,36
Nordland;Flakstad;Stjerntinden;938
Nordland;Gildeskål;Memaurtinden;1331,67
Nordland;Grane;Kvigtinden,Voenjelensnjurhtjie;1699,27
Nordland;Hadsel;Higravtindan;1146,88
Nordland;Hamarøy;Biernatjåhkkå, Bjørntoppen;1520
